コンテキスト	情報	属性	関連情報	状態モデル	バリエーション	説明
適用構成管理	feature flag 設定	BLUE_MODE(foreground / background / off)、GREEN_MODE(foreground / background / off)、RAPID_CROSSCHECK_MODE(foreground / background / off)、BLUE_IMPL(実装版)、GREEN_IMPL(実装版)、BLUE_RUNNER(runner 実体スクリプト)、GREEN_RUNNER(runner 実体スクリプト)、RAPID_CROSSCHECK_RUNNER(完了通知の送信先)、RAPID_CROSSCHECK_WORKER(速報クロスチェック worker の実体パス)	slot runner 割当、ジョブ起動要求、並行稼働実行(parallel_run)		実装スロット、slot 実行モード、運用モード、速報クロスチェックモード、設定所有区分	ジョブスケジューラのジョブ定義を変更せずに、slot(blue / green)ごとの実行モード、実装版、runner 実体スクリプト、速報クロスチェックの制御を切り替える正本。元の方針資料の設定契約どおり 9 キー(BLUE_MODE / GREEN_MODE / RAPID_CROSSCHECK_MODE / BLUE_IMPL / GREEN_IMPL / BLUE_RUNNER / GREEN_RUNNER / RAPID_CROSSCHECK_RUNNER / RAPID_CROSSCHECK_WORKER)で構成し、設定版は持たない。RAPID_CROSSCHECK_MODE は foreground / background で runner が完了通知を送信して速報管理 DB へ書き込み、off で完了通知を送信せず速報管理 DB へ接続も書込みもしない。BLUE_IMPL / GREEN_IMPL は execution-spec.json の実装版の出所、RAPID_CROSSCHECK_RUNNER は slot runner が完了通知(blue-completed / green-completed)を送る先、RAPID_CROSSCHECK_WORKER は速報クロスチェック worker の実体パスとして扱う。並行稼働・新実装の単独本番・次世代実装との並行稼働を feature flag の組み合わせだけで表現する。blue と green の両方を foreground にする構成は入力検証で拒否する。基盤適用設計者が定義し、facade が起動のたびに読み込む
適用構成管理	ジョブマップ	slot(blue / green)、job_id、host(ローカル実行の slot では省略可)、user(ローカル実行の slot では省略可)、work_dir、script、fixed_params(JSON 配列を格納する CSV セル)、hang_detect_limit_minutes、credential_ref(末尾の任意列)、map_version(末尾の任意列)	slot runner 割当、ジョブ起動要求、実行設定(execution-spec)、ハング検知上限設定、適用構成文書		実装スロット、設定所有区分、ハング検知上限設定	JOB_ID から host・user・script・work_dir・fixed_params・hang_detect_limit_minutes を slot ごとに解決する実行先の正本。ジョブスケジューラ側の定義を実装非依存に保つ。形式は CSV(1 行目ヘッダー、1 行 1 job_id)で、列名は元資料の job_id,host,user,work_dir,script,fixed_params,hang_detect_limit_minutes を用いる。fixed_params は JSON 配列文字列を格納する CSV セルで、二重引用符で囲みセル内の二重引用符は二重化する。固定引数の数と各引数内の空白・カンマを維持し、空は [] とし、その後ろに PARAM を順序を変えずに連結する。host と user はローカル実行の slot では省略できる。credential_ref(認証情報の参照名。値は置かない)と map_version(マップ版)は元資料に無いため末尾の任意列として許容し、必須にしない。実装版はジョブマップに持たず feature flag(BLUE_IMPL / GREEN_IMPL)が所有する。run 開始時に解決した内容は実行設定(execution-spec)として確定保存され、以後のジョブマップ変更は実行済みの run に影響しない
適用構成管理	ハング検知上限設定	job_id、role(blue / green / rapid-crosscheck)、hang_detect_limit_minutes(導入時 60 分、foreground role は 0 で対象外)	ジョブマップ、実行設定(execution-spec)、監視記録、適用構成文書		ハング検知上限設定、run role(成果物ディレクトリ区分)	ハング疑いの判定上限をジョブ・role ごとに保持する設定。ジョブマップの一部として所有され、導入時は全ジョブ 60 分とし、正常終了パターンの警告が出そろった時点で監視記録の警告時経過時間を基準に運用者が調整する。foreground role は 0 に設定して検知対象から除外する。調整の記録(調整日時・調整根拠となる警告時経過時間)はジョブマップの列に持たず適用構成文書に残す。調整は以後の run の execution-spec.json に反映され、実行済みの run には影響しない
適用構成管理	適用構成文書	案件識別、外部 IF の送受信方針、ネットワーク制約、ホスト配置、実行ユーザー方針、DB セグメント構成、runner 実体の所在、文書版、運用者の調整記録(hang_detect_limit_minutes の調整日時、調整根拠となる警告時経過時間)	slot runner 割当、ジョブマップ、クロスチェックジョブマップ、対象カタログ、ハング検知上限設定		設定所有区分	relay-gate の仕組みに含めない案件固有事項(外部 IF の送受信方針・ネットワーク制約・ホスト配置・実行ユーザー方針・DB セグメント構成)を適用側が定義する文書。runner・ジョブマップ・比較定義の差し替えだけで新しい案件や次世代実装へ適用し、facade・クロスチェック runner / worker・ハング検知・リラン・中止のスクリプトを変更不要に保つ根拠となる。hang_detect_limit_minutes をジョブごとに調整した記録(調整日時・調整根拠となる警告時経過時間)もこの文書またはそのコミット履歴に残す
適用構成管理	ハング検知定期ジョブ設定	通知先メールアドレス(ALERT_MAIL_TO)、送信コマンド(ALERT_MAIL_CMD)、件名プレフィックス(ALERT_SUBJECT_PREFIX)、管理 DB 接続参照名(HANG_DB_CONN_REF。値は置かず参照名のみ)	通知メール、監視記録、適用構成文書		設定所有区分、通知レベル、速報クロスチェックモード	ハング検知定期ジョブ(hang-detector)が通知メールを送るための通知先メールアドレス・送信コマンド・件名プレフィックスと、速報クロスチェック有効時に監視で参照する管理 DB の接続参照名を保持する hang-detector 用 env 設定ファイル(hang-detector.env)。基盤適用設計者が所有し、認証情報は値を置かず参照名のみとする。RAPID_CROSSCHECK_MODE=off では管理 DB 接続参照名を使用せず slot 成果物だけで監視する
クロスチェック定義管理	クロスチェックジョブマップ	比較対象一覧、対象カタログ参照、job_id ごとの比較定義参照、マップ版	比較定義、対象カタログ、適用構成文書		設定所有区分、クロスチェック種別	比較対象と対象カタログの所有者を feature flag・slot ジョブマップと分離し、クロスチェックの正本を適用側が job_id ごとに定義するマップ。設定所有者の分離の原則に基づき、速報クロスチェック用の job_id ごとの比較定義と、確報クロスチェック用の対象カタログとその版を保持する。形式は slot ジョブマップと同じ CSV(1 行目ヘッダー、1 行 1 job_id。セルは二重引用符で囲み、セル内の二重引用符は二重化する)に統一する
クロスチェック定義管理	対象カタログ	カタログ版、target_type(テーブル / ファイル)、target_identifier、比較条件、business_date の扱い	クロスチェックジョブマップ、確報比較依頼(final_crosscheck_request)		対象カタログの対象種別、比較種別	確報クロスチェックが比較する全テーブル・全ファイルを target_type・target_identifier と版で定義するカタログ。確報比較依頼に版を紐付けてリリース判断の正本となる全量比較の対象を確定する。適用側が版管理して定義する。形式は slot ジョブマップと同じ CSV(1 行目ヘッダー、1 行 1 対象。セルは二重引用符で囲み、セル内の二重引用符は二重化する)に統一する
並行稼働実行管理	実行設定(execution-spec)	run_id、job_id、slot、role、ホスト、実行ユーザー、スクリプトパス、作業ディレクトリ、固定引数、追加引数(PARAM)、マップ版、実装版、role ごとの hang_detect_limit_minutes、認証情報参照名、確定保存日時、保存先 URI(facade/<run_id>/execution-spec.json)	ジョブマップ、ハング検知上限設定、並行稼働実行(parallel_run)、slot 実行、Runner Result、リラン指示、監視記録		実装スロット、run role(成果物ディレクトリ区分)、ハング検知上限設定	run 開始時に解決済みの実行設定を facade/<run_id>/execution-spec.json として一時ファイル経由で一度だけ確定保存したもの。後からジョブマップを変更しても上書きしない。ハング検知の判定基準(hang_detect_limit_minutes)、background-rerun 時の再現性(最新ジョブマップを再解決せず復元する)、障害調査の根拠として使用する。認証情報は値を保存せず参照名のみを保持する。実装版は feature flag の BLUE_IMPL / GREEN_IMPL を出所とし、マップ版はジョブマップ側の版(map_version)を出所とする
並行稼働実行管理	Runner Result	run_id、slot、成果物ディレクトリ、started-at.txt(開始時刻)、stdout.log、stderr.log、exitcode.txt(数値 1 行)、aborted.txt(中止日時 1 行。中止時のみ生成)、確定リネーム完了フラグ	slot 実行、実行設定(execution-spec)、完了通知、ジョブスケジューラ応答、監視記録		Runner Result 成果物種別、実装スロット、run role(成果物ディレクトリ区分)	slot 実行の終了結果を started-at.txt / stdout.log / stderr.log / exitcode.txt として成果物ディレクトリに残す外部 IF の正本(Runner Result Contract)。ジョブスケジューラへの応答・完了通知・ハング検知・障害調査で共通に使用する。異常時(起動失敗・SSH 失敗・ジョブマップ未定義)も可能な限り 3 ファイルを揃え、一時ファイルへ出力してから確定名へリネームして書き込み途中の読み取りを防ぐ。slot 実行の状態はファイル正本(exitcode.txt / aborted.txt の有無と値)から導出し、速報クロスチェック有効時は管理 DB にも同じ状態を保持する。abort-blue / abort-green は成果物ディレクトリに aborted.txt を書くことで RAPID_CROSSCHECK_MODE=off でも中止を記録できる
並行稼働実行管理	ジョブスケジューラ応答	run_id、標準出力(foreground の stdout.log)、標準エラー(foreground の stderr.log)、終了コード(foreground の exitcode.txt)	Runner Result、ジョブ起動要求、並行稼働実行(parallel_run)、確報比較依頼(final_crosscheck_request)		slot 実行モード、ジョブスケジューラ起動ジョブ種別	facade が foreground slot の Runner Result をそのまま標準出力・標準エラー・終了コードとしてジョブスケジューラへ無加工で中継する応答。速報クロスチェックの失敗や background slot の結果は応答に含めず待機もしない。確報クロスチェック runner も依頼レコードに保存済みの stdout・stderr・exitcode を同じ形で中継し、終了コード以外の連携データを追加しない。運用者はこの応答を業務ジョブ・確報ジョブの実行結果として確認する。応答は時刻を持たず、実行日時の履歴はジョブスケジューラの責務とする
