業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	情報	ジョブ起動要求			ジョブスケジューラから JOB_ID [PARAM...] で起動された facade が feature flag 設定を読み込み、blue / green slot ごとに foreground / background / off の実行モードを選択する。両 slot が foreground の構成は入力検証でエラー終了する。background slot をすべて起動してから foreground slot を起動し、foreground の PID だけを待機する。速報クロスチェック有効時は run_id を発行して parallel_run を STARTED から RUNNING へ遷移させる	
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	情報	feature flag 設定				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	情報	slot runner 割当				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	情報	並行稼働実行(parallel_run)				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	情報	slot 実行				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	情報	速報実行(rapid_run)				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	情報	実行ログ				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	条件	foreground slot 排他				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	条件	slot 起動可否判定				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	条件	slot 起動順序				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	条件	速報クロスチェック有効判定				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	条件	確報クロスチェック非起動				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	条件	facade の責務限定				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	条件	実装固有事項の runner への閉じ込め				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	画面	facade slot 起動出力	アクター	運用者		受益者
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	イベント	JOB_ID 付き facade 起動	外部システム	ジョブスケジューラ		
クロスチェック業務	速報クロスチェックフロー		差分の原因調査		速報比較結果を参照する	情報	比較結果(comparison_result)			管理 DB に登録された comparison_result(comparison_type・status・difference_count・report_uri・compared_at)と依頼レコードの stdout・stderr・exitcode を run_id で参照し、blue / green の差分の原因を調査する。速報の結果は原因調査に使用し、リリース判断の正本には用いない	
クロスチェック業務	速報クロスチェックフロー		差分の原因調査		速報比較結果を参照する	情報	速報比較依頼(rapid_crosscheck_request)				
クロスチェック業務	速報クロスチェックフロー		差分の原因調査		速報比較結果を参照する	情報	比較ツール実行結果				
クロスチェック業務	速報クロスチェックフロー		差分の原因調査		速報比較結果を参照する	情報	並行稼働実行(parallel_run)				
クロスチェック業務	速報クロスチェックフロー		差分の原因調査		速報比較結果を参照する	情報	Runner Result				
クロスチェック業務	速報クロスチェックフロー		差分の原因調査		速報比較結果を参照する	条件	速報結果の位置付け				
クロスチェック業務	速報クロスチェックフロー		差分の原因調査		速報比較結果を参照する	条件	比較ツール終了コードの対応				
クロスチェック業務	速報クロスチェックフロー		差分の原因調査		速報比較結果を参照する	画面	rapid-crosscheck 結果参照出力	アクター	運用者		受益者
クロスチェック業務	速報クロスチェックフロー		完了通知の送信		速報クロスチェック runner へ完了通知を送信する	情報	完了通知			blue / green runner が完了時に系統ごとの公開 function(blue-completed / green-completed)で run_id・job_id・結果を速報クロスチェック runner へ通知して終了する。runner は相手側の状態や比較依頼の要否を判断しない。RAPID_CROSSCHECK_MODE=off のときは完了通知を送信せず、速報管理 DB への接続・書き込みも行わない。完了通知の送信失敗は自動検知せず、slot runner は実行ログに警告を残して Runner Result と終了コードを変更しない。復旧は運用者が速報クロスチェック runner を同一引数で再実行する(冪等・先勝ち)	
クロスチェック業務	速報クロスチェックフロー		完了通知の送信		速報クロスチェック runner へ完了通知を送信する	情報	Runner Result				
クロスチェック業務	速報クロスチェックフロー		完了通知の送信		速報クロスチェック runner へ完了通知を送信する	情報	slot 実行				
クロスチェック業務	速報クロスチェックフロー		完了通知の送信		速報クロスチェック runner へ完了通知を送信する	情報	feature flag 設定				
クロスチェック業務	速報クロスチェックフロー		完了通知の送信		速報クロスチェック runner へ完了通知を送信する	情報	実行ログ				
クロスチェック業務	速報クロスチェックフロー		完了通知の送信		速報クロスチェック runner へ完了通知を送信する	条件	速報クロスチェック有効判定				
クロスチェック業務	速報クロスチェックフロー		完了通知の送信		速報クロスチェック runner へ完了通知を送信する	条件	完了通知の系統独立				
クロスチェック業務	速報クロスチェックフロー		完了通知の送信		速報クロスチェック runner へ完了通知を送信する	条件	完了通知失敗の扱い				
クロスチェック業務	速報クロスチェックフロー		完了通知の送信		速報クロスチェック runner へ完了通知を送信する	画面	slot runner 完了通知出力	アクター	運用者		受益者
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	情報	完了通知			速報クロスチェック runner が完了通知を受けて rapid_run の blue_status / green_status を更新し、速報実行の完了状況を両系未完了 → 片系完了 → 両系成功 / いずれか失敗へ進める。blue と green の両方が成功したときに限り、完了順にかかわらず rapid_crosscheck_request を REQUESTED で 1 件だけ一意に作成して比較依頼作成済みとする。いずれかが失敗した場合は比較依頼を作成せず終了する	
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	情報	速報実行(rapid_run)				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	情報	速報比較依頼(rapid_crosscheck_request)				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	情報	並行稼働実行(parallel_run)				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	条件	両系成功判定				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	条件	比較依頼の一意性				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	条件	依頼状態遷移規則				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	条件	速報と確報のモデル分離				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	画面	rapid-crosscheck runner 判定出力	アクター	運用者		受益者
クロスチェック業務	速報クロスチェックフロー		比較依頼の取得		速報比較依頼を claim する	情報	速報比較依頼(rapid_crosscheck_request)			速報クロスチェック worker が管理 DB をジョブキューとして poll し、REQUESTED の速報比較依頼を worker_id と lease_until 付きで CLAIMED にする。CLAIMED で lease が失効しかつ未開始の依頼は REQUESTED に戻し、別の worker が再取得できるようにして多重実行を防ぐ	
クロスチェック業務	速報クロスチェックフロー		比較依頼の取得		速報比較依頼を claim する	条件	依頼状態遷移規則				
クロスチェック業務	速報クロスチェックフロー		比較依頼の取得		速報比較依頼を claim する	条件	claim 排他				
