業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	情報	完了通知			速報クロスチェック runner が完了通知を受けて rapid_run の blue_status / green_status を更新し、速報実行の完了状況を両系未完了 → 片系完了 → 両系成功 / いずれか失敗へ進める。blue と green の両方が成功したときに限り、完了順にかかわらず rapid_crosscheck_request を REQUESTED で 1 件だけ一意に作成して比較依頼作成済みとする。いずれかが失敗した場合は比較依頼を作成せず終了する。中止済み run(並行稼働実行(parallel_run)が ABORTED、または完了通知の対象 slot の slot 実行が ABORTED。判定材料は管理 DB の parallel_run.status と slot_executions.status)では、完了通知を受けても完了事実(blue_status / green_status と成果物 URI)だけを記録し、速報比較依頼は作成せず実行ログに警告を残す。この判断は速報クロスチェック runner が行い、slot runner は行わない	
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	情報	速報実行(rapid_run)				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	情報	速報比較依頼(rapid_crosscheck_request)				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	情報	並行稼働実行(parallel_run)				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	情報	速報クロスチェック設定				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	情報	実行ログ				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	情報	slot 実行				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	条件	両系成功判定				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	条件	比較依頼の一意性				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	条件	依頼状態遷移規則				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	条件	速報と確報のモデル分離				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	条件	中止済み run の比較依頼作成除外				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	画面	rapid-crosscheck runner 判定出力	アクター	運用者		受益者
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	情報	速報比較依頼(rapid_crosscheck_request)			速報クロスチェック worker が依頼を status = CLAIMED を条件とする条件付き UPDATE で RUNNING にし(更新件数が 0 件なら abort-rapid-crosscheck で ABORTED 済みとして比較を開始せず終了する)、クロスチェックのジョブマップにある job_id ごとの比較定義に従って比較ツールでジョブ単位の比較を非同期に実行する。比較ツールの stdout・stderr・exitcode を依頼レコードへ保存し、exitcode 0 なら SUCCEEDED、非 0(比較 NG=3・実行エラー=6 など)なら FAILED として comparison_result を管理 DB に登録する。結果はジョブスケジューラへの応答に影響させない	
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	情報	クロスチェックジョブマップ				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	情報	比較定義				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	情報	比較ツール実行結果				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	情報	比較結果(comparison_result)				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	情報	実行ログ				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	条件	依頼状態遷移規則				
