コンテキスト	バリエーション	値	説明
適用構成管理	実装スロット	blue、green	並行稼働の対象となる実装系統の区分。blue が現行実装、green が新実装を指し、runner・成果物ディレクトリ・完了通知の系統を識別する
適用構成管理	slot 実行モード	foreground、background、off	feature flag(BLUE_MODE / GREEN_MODE)で slot ごとに指定する実行方式。foreground は結果をジョブスケジューラへ返す系統、background は同時実行のみ、off は起動しない。foreground は同時に 1 slot だけ許可される
適用構成管理	運用モード	並行稼働、新実装の単独本番、次世代実装との並行稼働	feature flag の組み合わせで表現する段階的切替の運用形態。並行稼働は blue foreground / green background / 速報 on、単独本番は blue off / green foreground / 速報 off、次世代並行稼働は blue background / green foreground / 速報 on
適用構成管理	速報クロスチェックモード	on、off	feature flag(RAPID_CROSSCHECK_MODE)で速報クロスチェックの有効・無効を切り替える区分。off のとき runner は完了通知を送らず速報管理 DB へ接続・書き込みしない
クロスチェック定義管理	クロスチェック種別	速報クロスチェック、確報クロスチェック	比較の位置付けの区分。速報はジョブ実行ごとに非同期で行い原因調査に使う。確報は日次全量比較でリリース判断の正本となり、ジョブスケジューラの別ジョブから起動する
速報クロスチェック管理	クロスチェック依頼状態	REQUESTED、CLAIMED、RUNNING、SUCCEEDED、FAILED、ABORTED	速報・確報の比較依頼に共通するライフサイクルの状態区分。worker の claim / lease による多重実行防止と、中止・リランの前提判断に用いる
確報クロスチェック管理	比較ツール終了コード	0(比較 OK)、3(比較 NG・警告終了)、6(実行エラー・エラー終了)	比較ツールの終了コードと依頼状態の対応区分。0 は SUCCEEDED、3 と 6 は FAILED に対応し、確報では保存した終了コードをそのままジョブスケジューラへ中継する
並行稼働実行管理	Runner Result 成果物種別	started-at.txt、stdout.log、stderr.log、exitcode.txt	slot runner が成果物ディレクトリへ出力するファイルの種別。3 ファイル(stdout / stderr / exitcode)はジョブスケジューラへの応答・完了通知・障害調査に共通利用し、started-at.txt はハング検知の経過時間判定に用いる
並行稼働実行管理	run role(成果物ディレクトリ区分)	blue、green、rapid-crosscheck、final-crosscheck	1 回の run の中で成果物ディレクトリと監視・リラン・中止の対象を識別する役割区分。background-rerun や abort 系スクリプトの対象指定に用いる
実行復旧管理	リラン対象 role	blue、green、rapid-crosscheck	background-rerun の --role で指定できる対象区分。blue / green は元 slot が background のときのみ業務ジョブを再実行し、rapid-crosscheck は比較依頼のみ新規作成する
