業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
並行稼働実行業務	並行稼働実行フロー	""	並行稼働状況を把握する	""	並行稼働実行結果を確認する	情報	Runner実行結果（started-at.txt/stdout.log/stderr.log/exitcode.txt）	""	""	移行運用責任者がblue/green並行稼働の実行結果を確認し、段階的切替の判断材料とする	""
並行稼働実行業務	並行稼働実行フロー	""	並行稼働状況を把握する	""	並行稼働実行結果を確認する	画面	並行稼働実行結果確認画面	アクター	移行運用責任者	""	""
並行稼働実行業務	並行稼働実行フロー	""	blue/green slotを起動する	""	feature flag設定に基づきslotを選択して起動する	情報	execution-spec.json	""	""	feature flag設定を参照し、blue/green実装のうちどちらのslotを起動するか選択し起動する	""
並行稼働実行業務	並行稼働実行フロー	""	blue/green slotを起動する	""	feature flag設定に基づきslotを選択して起動する	条件	feature flag設定（BLUE_MODE/GREEN_MODE/RAPID_CROSSCHECK_MODE）	""	""	""	""
並行稼働実行業務	並行稼働実行フロー	""	blue/green slotを起動する	""	feature flag設定に基づきslotを選択して起動する	画面	起動slot選択画面	アクター	運用者	""	""
並行稼働実行業務	並行稼働実行フロー	""	blue/green slotを起動する	""	feature flag設定に基づきslotを選択して起動する	イベント	blue実装起動イベント	外部システム	blue実装	""	""
並行稼働実行業務	並行稼働実行フロー	""	blue/green slotを起動する	""	feature flag設定に基づきslotを選択して起動する	イベント	green実装起動イベント	外部システム	green実装	""	""
並行稼働実行業務	並行稼働実行フロー	""	background roleを先行起動する	""	background roleを起動する	情報	execution-spec.json	""	""	foreground roleの実行に先立ちbackground roleを起動し、background slot実行状態をRUNNINGへ遷移させる	""
並行稼働実行業務	並行稼働実行フロー	""	background roleを先行起動する	""	background roleを起動する	情報	Runner実行結果（started-at.txt/stdout.log/stderr.log/exitcode.txt）	""	""	""	""
並行稼働実行業務	並行稼働実行フロー	""	background roleを先行起動する	""	background roleを起動する	画面	background role起動画面	アクター	運用者	""	""
並行稼働実行業務	並行稼働実行フロー	""	background roleを先行起動する	""	background roleを起動する	イベント	blue実装background起動イベント	外部システム	blue実装	""	""
並行稼働実行業務	並行稼働実行フロー	""	background roleを先行起動する	""	background roleを起動する	イベント	green実装background起動イベント	外部システム	green実装	""	""
並行稼働実行業務	並行稼働実行フロー	""	foreground実行結果をジョブスケジューラへ応答する	""	foreground roleの標準出力・標準エラー・終了コードを応答する	情報	Runner実行結果（started-at.txt/stdout.log/stderr.log/exitcode.txt）	""	""	foreground roleの標準出力・標準エラー・終了コードだけをジョブスケジューラへ応答する	""
並行稼働実行業務	並行稼働実行フロー	""	foreground実行結果をジョブスケジューラへ応答する	""	foreground roleの標準出力・標準エラー・終了コードを応答する	画面	実行結果応答管理画面	アクター	運用者	""	""
並行稼働実行業務	並行稼働実行フロー	""	foreground実行結果をジョブスケジューラへ応答する	""	foreground roleの標準出力・標準エラー・終了コードを応答する	イベント	foreground実行結果応答イベント	外部システム	ジョブスケジューラ	""	""
クロスチェック業務	速報クロスチェックフロー	""	実行結果差分の速報を把握する	""	速報クロスチェック結果を確認する	情報	速報比較結果	""	""	障害調査担当者がジョブ単位の速報比較結果を確認し、早期の差分検知に活用する	""
クロスチェック業務	速報クロスチェックフロー	""	実行結果差分の速報を把握する	""	速報クロスチェック結果を確認する	画面	速報クロスチェック結果確認画面	アクター	障害調査担当者	""	""
クロスチェック業務	速報クロスチェックフロー	""	速報比較依頼を作成する	""	blue/green runnerの完了通知を受けて速報比較依頼を作成する	情報	速報比較依頼	""	""	blue/green runnerの完了通知を受けてジョブ単位に速報比較依頼を作成し、速報比較依頼状態をREQUESTEDへ遷移させる	""
クロスチェック業務	速報クロスチェックフロー	""	速報比較依頼を作成する	""	blue/green runnerの完了通知を受けて速報比較依頼を作成する	条件	feature flag設定（BLUE_MODE/GREEN_MODE/RAPID_CROSSCHECK_MODE）	""	""	""	""
クロスチェック業務	速報クロスチェックフロー	""	速報比較依頼を作成する	""	blue/green runnerの完了通知を受けて速報比較依頼を作成する	画面	速報比較依頼作成画面	アクター	運用者	""	""
