コンテキスト	状態モデル	状態	遷移UC	遷移先状態	説明
実行管理	background slot実行状態			STARTING	background roleの起動を受け付け、accepted_atを記録して起動試行を開始する
実行管理	background slot実行状態	RUNNING	background実行の未完了・非0終了・速報比較異常を定期検知する	SUCCEEDED	hang-detectorがexitcode.txtの終了コード0を検知し完了と判定する
実行管理	background slot実行状態	RUNNING	background実行の未完了・非0終了・速報比較異常を定期検知する	FAILED	hang-detectorがexitcode.txtの非0終了コードを検知し異常と判定する
実行管理	background slot実行状態	RUNNING	対話確認のうえblue background実行をABORTEDへ遷移させる	ABORTED	停止確認済みのblue background実行を運用者の対話確認を経て中止状態へ明示的に遷移させる(blue中止フロー)
実行管理	background slot実行状態	RUNNING	対話確認のうえgreen background実行をABORTEDへ遷移させる	ABORTED	停止確認済みのgreen background実行を運用者の対話確認を経て中止状態へ明示的に遷移させる(green中止フロー)
実行管理	background slot実行状態	SUCCEEDED			正常終了としてforeground結果の応答・完了通知・障害調査のための実行結果を確定する
実行管理	background slot実行状態	FAILED			異常終了としてforeground結果の応答・ハング監視での検知対象となる実行結果を確定する
実行管理	background slot実行状態	ABORTED			中止済みとして実行系譜の追跡対象となる実行結果を確定する
速報クロスチェック管理	速報比較依頼状態			REQUESTED	blue/green runnerの完了通知を受けて速報比較依頼を作成する
速報クロスチェック管理	速報比較依頼状態	REQUESTED		CLAIMED	workerが速報比較依頼を取得(lease取得)する
速報クロスチェック管理	速報比較依頼状態	CLAIMED		REQUESTED	leaseが失効し、かつworkerが未着手の場合に依頼を差し戻し重複実行を防ぐ
速報クロスチェック管理	速報比較依頼状態	CLAIMED	速報クロスチェックを実行し差分を検知する	RUNNING	workerが速報比較の実行を開始する
速報クロスチェック管理	速報比較依頼状態	RUNNING	速報クロスチェックを実行し差分を検知する	SUCCEEDED	workerのexitcodeが0であることを確定する
速報クロスチェック管理	速報比較依頼状態	RUNNING	速報クロスチェックを実行し差分を検知する	FAILED	workerのexitcodeが非0であることを確定する
速報クロスチェック管理	速報比較依頼状態	RUNNING	対話確認のうえ速報比較依頼をABORTEDへ遷移させる	ABORTED	RUNNING中の速報比較依頼を運用者の対話確認を経て中止状態へ明示的に遷移させる(速報比較中止フロー)
速報クロスチェック管理	速報比較依頼状態	SUCCEEDED			速報クロスチェックの正常完了として速報比較結果を確定し保持する
速報クロスチェック管理	速報比較依頼状態	FAILED			速報クロスチェックの異常完了としてハング検知記録・運用者への通知の対象とする
速報クロスチェック管理	速報比較依頼状態	ABORTED			中止済みとして依頼の履歴を保持する
確報クロスチェック管理	確報比較依頼状態			REQUESTED	日次バッチにより全テーブル・全ファイルを対象とした確報比較依頼を作成する
確報クロスチェック管理	確報比較依頼状態	REQUESTED		CLAIMED	workerが確報比較依頼を取得(lease取得)する
確報クロスチェック管理	確報比較依頼状態	CLAIMED		REQUESTED	leaseが失効し、かつworkerが未着手の場合に依頼を差し戻し重複実行を防ぐ
確報クロスチェック管理	確報比較依頼状態	CLAIMED	全テーブル・全ファイルを対象に確報クロスチェックを実行する	RUNNING	workerが確報比較の実行を開始する
確報クロスチェック管理	確報比較依頼状態	RUNNING	全テーブル・全ファイルを対象に確報クロスチェックを実行する	SUCCEEDED	workerのexitcodeが0であることを確定する
確報クロスチェック管理	確報比較依頼状態	RUNNING	全テーブル・全ファイルを対象に確報クロスチェックを実行する	FAILED	workerのexitcodeが非0であることを確定する
確報クロスチェック管理	確報比較依頼状態	RUNNING	対話確認のうえ確報比較依頼をABORTEDへ遷移させる	ABORTED	RUNNING中の確報比較依頼を運用者の対話確認を経て中止状態へ明示的に遷移させる(確報比較中止フロー)
確報クロスチェック管理	確報比較依頼状態	SUCCEEDED			確報クロスチェックの正常完了としてrunnerがstdout/stderr/exitcodeのみジョブスケジューラへ中継し、リリース判断の正本とする
確報クロスチェック管理	確報比較依頼状態	FAILED			確報クロスチェックの異常完了としてrunnerがstdout/stderr/exitcodeのみジョブスケジューラへ中継する
確報クロスチェック管理	確報比較依頼状態	ABORTED			中止済みとして依頼の履歴を保持する
実行管理	background slot実行状態		execution-spec.jsonの実行設定を保ったまま再実行する	STARTING	再実行では元のexecution-spec.jsonとslot別実行設定で新しいrun_idの実行を新規作成しparent_run_idで元run_idに関連付け、起動受付としてSTARTINGから開始する。元の実行のレコードと履歴は変更しない(background側リランフロー)
速報クロスチェック管理	速報比較依頼状態		execution-spec.jsonの実行設定を保ったまま再実行する	REQUESTED	再実行では新しいrun_idの速報比較依頼を新規作成しparent_run_idで元依頼に関連付ける。元依頼のレコード・状態・履歴は変更しない(background側リランフロー)
実行管理	background slot実行状態	STARTING	background roleを起動する	RUNNING	プロセスの起動を確認しstarted-at.txtを記録して実行中と判定する
実行管理	background slot実行状態	STARTING	background実行の未完了・非0終了・速報比較異常を定期検知する	UNKNOWN	起動受付後にtimeoutや結果取得不能で起動可否を確定できない場合、推測でFAILEDを確定せず結果不明として扱う
実行管理	background slot実行状態	RUNNING	background実行の未完了・非0終了・速報比較異常を定期検知する	UNKNOWN	timeoutや結果取得不能で実行結果を確定できない場合、推測でFAILEDを確定せず結果不明として扱う
実行管理	background slot実行状態	UNKNOWN	background実行の未完了・非0終了・速報比較異常を定期検知する	SUCCEEDED	実結果（exitcode.txt）を回収し終了コード0を確認して正常終了へ確定する
実行管理	background slot実行状態	UNKNOWN	background実行の未完了・非0終了・速報比較異常を定期検知する	FAILED	実結果（exitcode.txt）を回収し非0終了コードを確認して異常終了へ確定する
実行管理	background slot実行状態	UNKNOWN	対話確認のうえblue background実行をABORTEDへ遷移させる	ABORTED	結果不明のblue background実行を運用者の対話確認を経て中止状態へ確定する(blue中止フロー)
実行管理	background slot実行状態	UNKNOWN	対話確認のうえgreen background実行をABORTEDへ遷移させる	ABORTED	結果不明のgreen background実行を運用者の対話確認を経て中止状態へ確定する(green中止フロー)
