コンテキスト	条件	条件の説明	バリエーション	状態モデル
適用構成管理	foreground slot 排他	blue と green の両方が foreground に設定された構成は許可しない。facade は入力検証でこの構成を検出し、どの slot も起動せずエラー終了する。縦軸を blue の実行モード、横軸を green の実行モードとし、foreground × foreground の組合せのみ拒否する	実装スロット、slot 実行モード、運用モード	
並行稼働実行管理	slot 起動可否判定	slot 実行モードが off の slot は runner を起動しない。foreground または background の slot だけを起動する。実装スロット × slot 実行モードの表で起動要否を決める	実装スロット、slot 実行モード	slot 実行
並行稼働実行管理	slot 起動順序	background の slot をすべて起動して PID と成果物ディレクトリを確定してから foreground slot を起動し、すべての slot 起動後に foreground の PID だけを待機する。並行稼働実行は STARTED から RUNNING へ遷移する	slot 実行モード	並行稼働実行、slot 実行
並行稼働実行管理	ジョブスケジューラ応答の決定	ジョブスケジューラへ返す標準出力・標準エラー・終了コードは foreground slot の Runner Result(stdout.log / stderr.log / exitcode.txt)をそのまま中継したものとし、background slot と速報クロスチェックの結果は応答に反映しない。中継完了で並行稼働実行を COMPLETED にする	slot 実行モード、Runner Result 成果物種別	並行稼働実行
並行稼働実行管理	確報クロスチェック非起動	確報クロスチェックの制御は feature flag に含めず、facade は確報クロスチェックを起動しない。確報はジョブスケジューラの別ジョブ定義から直接起動する	クロスチェック種別、ジョブスケジューラ起動ジョブ種別	
並行稼働実行管理	Runner Result 完備条件	slot 実行が終了したとき成果物ディレクトリに stdout.log、stderr.log、exitcode.txt が揃って存在する。exitcode.txt は数値 1 行で、runner の終了コードと一致する。起動失敗・ジョブマップ未定義・SSH 失敗などの異常でも可能な限り 3 ファイルを出力する。exitcode.txt が 0 なら slot 実行を SUCCEEDED、非 0 なら FAILED とする	Runner Result 成果物種別、実装スロット	slot 実行
並行稼働実行管理	成果物公開判定	成果物は一時ファイルへ出力してから確定名へリネームする。確定名のファイルが存在するときのみ書き込み完了とみなし、書き込み途中の確定名ファイルは存在しない	Runner Result 成果物種別	
適用構成管理	ジョブマップ解決条件	slot のジョブマップに JOB_ID の行が存在するときのみ実行先(ホスト・実行ユーザー・スクリプト・作業ディレクトリ・固定引数・hang_detect_limit_minutes)を解決できる。JOB_ID が未定義なら runner は非 0 の exitcode.txt と原因を含む stderr.log を出力して終了する	実装スロット、設定所有区分	
適用構成管理	引数連結規則	実装へ渡す引数は、ジョブマップの固定引数(JSON 配列)の後ろにジョブスケジューラから渡された PARAM... を順序を変えずに連結する。引数の数と各引数内の空白・カンマを維持し、空の固定引数は [] とする		
並行稼働実行管理	実行設定の確定条件	run 開始時に解決済みの実行設定・追加引数・マップ版・実装版・role ごとの hang_detect_limit_minutes を execution-spec.json として一度だけ保存する。run 開始後にジョブマップを変更しても同じ run の execution-spec.json は上書きしない。並行稼働実行の STARTED 遷移時に保存する	run role(成果物ディレクトリ区分)、ハング検知上限設定	並行稼働実行
並行稼働実行管理	認証情報の非保存	execution-spec.json には認証情報の値を保存せず、参照名だけを保存する		
適用構成管理	設定所有区分	実装スロットと runner の割当は feature flag が、実行先とハング検知上限は該当 slot のジョブマップが、比較対象と対象カタログはクロスチェックのジョブマップが、外部 IF 方針・ネットワーク制約・ホスト配置は適用文書が所有する。縦軸を設定項目、横軸を設定所有区分とする表で正本を一意に定める	設定所有区分	
速報クロスチェック管理	速報クロスチェック有効判定	RAPID_CROSSCHECK_MODE=on のときのみ runner は完了通知を送信し、速報管理 DB に完了結果と比較依頼を書き込む。off のときは完了通知を送信せず、速報管理 DB への接続・書き込みを行わず、parallel_run も作成しない	速報クロスチェックモード	並行稼働実行
