コンテキスト	条件	条件の説明	バリエーション	状態モデル
適用構成管理	foreground slot 排他	blue と green の両方が foreground に設定された構成は許可しない。facade は入力検証でこの構成を検出し、どの slot も起動せずエラー終了する。縦軸を blue の実行モード、横軸を green の実行モードとし、foreground × foreground の組合せのみ拒否する	実装スロット、slot 実行モード、運用モード	
並行稼働実行管理	slot 起動可否判定	slot 実行モードが off の slot は runner を起動しない。foreground または background の slot だけを起動する。実装スロット × slot 実行モードの表で起動要否を決める	実装スロット、slot 実行モード	slot 実行
並行稼働実行管理	slot 起動順序	background の slot をすべて起動して PID と成果物ディレクトリを確定してから foreground slot を起動し、すべての slot 起動後に foreground の PID だけを待機する。並行稼働実行は STARTED から RUNNING へ遷移する	slot 実行モード	並行稼働実行、slot 実行
並行稼働実行管理	ジョブスケジューラ応答の決定	ジョブスケジューラへ返す標準出力・標準エラー・終了コードは foreground slot の Runner Result(stdout.log / stderr.log / exitcode.txt)をそのまま中継したものとし、background slot と速報クロスチェックの結果は応答に反映しない。中継完了で並行稼働実行を COMPLETED にする	slot 実行モード、Runner Result 成果物種別	並行稼働実行
並行稼働実行管理	確報クロスチェック非起動	確報クロスチェックの制御は feature flag に含めず、facade は確報クロスチェックを起動しない。確報はジョブスケジューラの別ジョブ定義から直接起動する	クロスチェック種別、ジョブスケジューラ起動ジョブ種別	
並行稼働実行管理	Runner Result 完備条件	slot 実行が終了したとき成果物ディレクトリに stdout.log、stderr.log、exitcode.txt が揃って存在する。exitcode.txt は数値 1 行で、runner の終了コードと一致する。起動失敗・ジョブマップ未定義・SSH 失敗などの異常でも可能な限り 3 ファイルを出力する。exitcode.txt が 0 なら slot 実行を SUCCEEDED、非 0 なら FAILED とする	Runner Result 成果物種別、実装スロット	slot 実行
並行稼働実行管理	成果物公開判定	成果物は一時ファイルへ出力してから確定名へリネームする。確定名のファイルが存在するときのみ書き込み完了とみなし、書き込み途中の確定名ファイルは存在しない	Runner Result 成果物種別	
並行稼働実行管理	slot 実行の状態導出規則	slot 実行の状態は成果物ディレクトリのファイル正本から導出する。exitcode.txt があれば 0 で SUCCEEDED、非 0 で FAILED とする。exitcode.txt が無く aborted.txt があれば ABORTED、どちらも無ければ RUNNING とする。background 側リランの事前検証とハング検知はこの規則で状態を判定し、aborted.txt がある監視対象は中止済みとして監視記録を終端する。速報クロスチェック有効時は管理 DB にも同じ状態を保持する。縦軸を exitcode.txt の有無・値、横軸を aborted.txt の有無とする判定表	Runner Result 成果物種別、速報クロスチェックモード	slot 実行、監視状態
適用構成管理	ジョブマップ解決条件	slot のジョブマップ(CSV。1 行目ヘッダー、列は job_id,host,user,work_dir,script,fixed_params,hang_detect_limit_minutes)に JOB_ID の行が存在するときのみ実行先(host・user・script・work_dir・fixed_params・hang_detect_limit_minutes)を解決できる。host と user はローカル実行の slot では省略可。fixed_params は JSON 配列文字列を格納する CSV セルで、二重引用符で囲みセル内の二重引用符は二重化されたものとして解析する。JOB_ID が未定義なら runner は非 0 の exitcode.txt と原因を含む stderr.log を出力して終了する	実装スロット、設定所有区分	
適用構成管理	引数連結規則	実装へ渡す引数は、ジョブマップの固定引数(JSON 配列)の後ろにジョブスケジューラから渡された PARAM... を順序を変えずに連結する。引数の数と各引数内の空白・カンマを維持し、空の固定引数は [] とする		
並行稼働実行管理	実行設定の確定条件	run 開始時に解決済みの実行設定・追加引数・マップ版・実装版・role ごとの hang_detect_limit_minutes を execution-spec.json として一度だけ保存する。run 開始後にジョブマップを変更しても同じ run の execution-spec.json は上書きしない。並行稼働実行の STARTED 遷移時に保存する	run role(成果物ディレクトリ区分)、ハング検知上限設定	並行稼働実行
並行稼働実行管理	認証情報の非保存	execution-spec.json には認証情報の値を保存せず、参照名だけを保存する		
