業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの実行結果確認		業務ジョブの実行結果を確認する	情報	ジョブスケジューラ応答			ジョブスケジューラに中継された foreground slot の標準出力・標準エラー・終了コードをジョブスケジューラの実行結果として確認する。速報クロスチェックの失敗や background slot の結果は含まれず、並行稼働中も単独本番中も同じ見え方で結果を判定できる	
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの実行結果確認		業務ジョブの実行結果を確認する	情報	Runner Result				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの実行結果確認		業務ジョブの実行結果を確認する	情報	並行稼働実行(parallel_run)				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの実行結果確認		業務ジョブの実行結果を確認する	条件	ジョブスケジューラ応答の決定				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの実行結果確認		業務ジョブの実行結果を確認する	条件	速報結果の位置付け				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの実行結果確認		業務ジョブの実行結果を確認する	条件	実行履歴はジョブスケジューラの責務				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの実行結果確認		業務ジョブの実行結果を確認する	画面	facade 実行結果出力	アクター	運用者		受益者
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの実行結果確認		業務ジョブの実行結果を確認する	イベント	業務ジョブ実行結果の判定	外部システム	ジョブスケジューラ		
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	情報	ジョブ起動要求			ジョブスケジューラから JOB_ID [PARAM...] で起動された facade が feature flag 設定を読み込み、blue / green slot ごとに foreground / background / off の実行モードを選択する。両 slot が foreground の構成は入力検証でエラー終了する。background slot をすべて起動してから foreground slot を起動し、foreground の PID だけを待機する。速報クロスチェック有効時は run_id を発行して parallel_run を STARTED から RUNNING へ遷移させる	
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	情報	feature flag 設定				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	情報	slot runner 割当				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	情報	並行稼働実行(parallel_run)				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	情報	slot 実行				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	情報	速報実行(rapid_run)				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	情報	実行ログ				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	条件	foreground slot 排他				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	条件	slot 起動可否判定				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	条件	slot 起動順序				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	条件	速報クロスチェック有効判定				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	条件	確報クロスチェック非起動				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	条件	facade の責務限定				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	条件	実装固有事項の runner への閉じ込め				
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	画面	facade slot 起動出力	アクター	運用者		受益者
